7zip 26.02-1
auto-cpufreq 3.1.0-1
baobab 50.0-1
base 3-3
base-devel 1-2
bibata-cursor-theme-bin 2.0.7-1
blueprint-compiler 0.22.2-1
bluez 5.87-2
bluez-utils 5.87-2
borna-fonts 20011225-4
cups 2:2.4.19-1
cups-pdf 3.0.3-1
decibels 49.6.1-1
dhclient 4.4.3.P1-4
epiphany 50.4-2
fastfetch 2.66.0-1
file-roller 44.7-1
firefox 153.0.1-1
gdb 17.2-1
gdm 50.1-1
gnome-backgrounds 50.0-1
gnome-calculator 50.0-1
gnome-calendar 50.0-2
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-color-manager 3.36.2-1
gnome-connections 50.0-1
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-control-center 50.3-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.2-1
gnome-menus 3.38.1-1
gnome-music 1:50.0-1
gnome-remote-desktop 50.2-1
gnome-session 50.1-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.3-1
gnome-shell-extensions 50.2-1
gnome-software 50.3-1
gnome-system-monitor 50.0-1
gnome-text-editor 50.1-1
gnome-tour 50.0-1
gnome-tweaks 49.0-2
gnome-user-docs 50.2-1
gnome-user-share 48.3-1
gnome-weather 50.0-1
grilo-plugins 1:0.3.18-3
grub 2:2.14-1
gst-plugin-pipewire 1:1.6.8-1
gvfs 1.60.1-1
gvfs-afc 1.60.1-1
gvfs-dnssd 1.60.1-1
gvfs-goa 1.60.1-1
gvfs-gphoto2 1.60.1-1
gvfs-mtp 1.60.1-1
gvfs-nfs 1.60.1-1
gvfs-onedrive 1.60.1-1
gvfs-smb 1.60.1-1
gvfs-wsdd 1.60.1-1
htop 3.5.2-1
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
iran-nastaliq-fonts 2.001-1
irqbalance 1.9.5-3
iwd 3.12-1
less 1:704-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.5-1
libva-intel-driver 2.4.5-1
linux 7.1.5.arch1-2
linux-firmware 20260622-1
logrotate 3.22.0-1
loupe 50.0-1
malcontent 0.14.0-4
nano 9.1-1
nautilus 50.2.2-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
nginx 1.30.4-1
noto-fonts 1:2026.07.01-1
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
openvpn 2.7.5-1
orca 50.2-1
os-prober 1.84-1
otf-comicshanns-nerd 3.4.0-2
otf-openmoji 17.0.0-1
pacman-contrib 1.13.1-1
papers 50.2-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
power-profiles-daemon 0.30-1
reflector 2023-5
remmina 1:1.4.43-3
rygel 1:45.2-1
rz-cutter 2.4.1-6
showtime 50.0-1
simple-scan 50.0-1
smartmontools 7.5-1
snapshot 50.0-1
sof-firmware 2025.12.2-1
starship 1.26.0-1
sushi 50.0-1
tecla 50.0-1
tmux 3.7_b-1
ttf-gentium-plus 7.000-2
ttf-linux-libertine 5.3.0-10
ttf-opensans 3.003-1
ttf-roboto 3.015-1
ttf-scheherazade-new 4.500-1
ufw 0.36.2-7
ufw-extras 1.3.0-1
unrar 1:7.2.7-1
uvicorn 0.52.0-1
vazirmatn-fonts 33.003-2
vim 9.2.0849-1
vlc 3.0.23_2-9
vlc-plugins-all 3.0.23_2-9
vulkan-intel 1:26.1.5-1
vulkan-nouveau 1:26.1.5-1
vulkan-radeon 1:26.1.5-1
wget 1.25.0-6
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
xdg-desktop-portal-gnome 50.0-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.24-1
xorg-xinit 1.4.4-1
yelp 49.1-1
zip 3.0-13
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autocomplete 25.03.19-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-syntax-highlighting 0.8.0-2

